objectid,title,date,album,description,location,latitude,longitude,source,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,file_name
prdm0001,7 Sorry Albums,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/7SorryAlbums.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0002,Adrenalyn,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Adrenalyn.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0003,Apartment Album Cover,2011,Apartment,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/ApartmentCover.jpg,/objects/small/apartmentcover_sm.jpg,/objects/thumbs/apartmentcover_th.jpg,,apartmentcover
prdm0004,Approval,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Approval.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0005,Cache Cow Album Cover,2023,Punk Rock Drum Machine,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/CacheCowAlbumCover.jpg,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0006,Cris Carter,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/CrisCarter.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0007,Edge,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Edge.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0008,Fin,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Fin.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0009,Full,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Full.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0010,Gothic Grrrls,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/GothicGrrrls.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0011,Irish Ghosts Don't Drown,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/IrishGhostsDontDrown.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0012,Legend,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Legend.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0013,My Lifetime,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/MyLifetime.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0014,WAV poster,2008,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/PRDM-WAV-poster.jpg,/objects/small/prdm-wav-poster _sm.jpg,/objects/thumbs/prdm-wav-poster _th.jpg,,prdm-wav-poster 
prdm0015,WAV Band Photo,2008,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/PRDM-photo.jpg,/objects/small/prdm-photo_sm.jpg,/objects/thumbs/prdm-photo_th.jpg,,prdm-photo
prdm0016,Passing Time,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/PassingTime.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0017,Restraining Order,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/RestrainingOrder.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0018,Summer Babe,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/SummerBabe.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0019,Y2K,2000,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Y2K.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0020,Punk Rock Drum Machine shirt,2009,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-shirt.jpg,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0021,Punk Rock Drum Machine Toon 1,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage	image/jpeg,,eng,image,/objects/prdm-toon0001.jpg,/objects/small/prdm-toon0001_sm.jpg,/objects/thumbs/prdm-toon0001_th.jpg,,prdm-toon0001
prdm0022,Punk Rock Drum Machine Toon 2,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-toon0002.jpg,/objects/small/prdm-toon0002_sm.jpg,/objects/thumbs/prdm-toon0002_th.jpg,,prdm-toon0002
prdm0023,Punk Rock Drum Machine Toon 3,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-toon0003.jpg,/objects/small/prdm-toon0003_sm.jpg,/objects/thumbs/prdm-toon0003_th.jpg,,prdm-toon0003
prdm0024,Login Album Art,2006,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm_konky.jpg,/objects/small/prdm_konky_sm.jpg,/objects/thumbs/prdm_konky_th.jpg,,prdm_konky
prdm0025,Way Out Album Art,2010,Way Out,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/wy.jpg,/objects/small/wy_sm.jpg,/objects/thumbs/wy_th.jpg,,wy
prdm0026,Eyes Wide Open Mouth Shut,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/eyes-wide-open-mouth-shut-2,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0027,Cult Victim 101,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/cult-victim-101,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0028,Now Cannot Be Fixed,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/cult-victim-101,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0029,Bottom Below,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/bottom-below,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0030,Might of the Moose (Advance Base Cover),2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/might-of-the-moose-advanced-base-cover,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0031,Troubles,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/might-of-the-moose-advanced-base-cover,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0032,Sneer Review,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/sneer-review,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0033,Earn,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/earn,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0034,Road Closed Ahead,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/road-closed-ahead,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0035,Flat Out,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/flat-out,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0036,Keep Breathin',2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/keep-breathin,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
prdm0037,Worst Part,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/worst-part,/objects/small/cachecowalbumcover_sm.jpg,/objects/thumbs/cachecowalbumcover_th.jpg,,cachecowalbumcover
